,Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
0,Foot Locker,1185732,2020-01-01 00:00:00,Northeast,New York,New York,Men's Street Footwear,50,1200,600000,300000,0.5,In-store
1,Foot Locker,1185732,2020-01-02 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,50,1000,500000,150000,0.3,In-store
2,Foot Locker,1185732,2020-01-03 00:00:00,Northeast,New York,New York,Women's Street Footwear,40,1000,400000,140000,0.35,In-store
3,Foot Locker,1185732,2020-01-04 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,45,850,382500,133875,0.35,In-store
4,Foot Locker,1185732,2020-01-05 00:00:00,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,In-store
5,Foot Locker,1185732,2020-01-06 00:00:00,Northeast,New York,New York,Women's Apparel,50,1000,500000,125000,0.25,In-store
6,Foot Locker,1185732,2020-01-07 00:00:00,Northeast,New York,New York,Men's Street Footwear,50,1250,625000,312500,0.5,In-store
7,Foot Locker,1185732,2020-01-08 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,50,900,450000,135000,0.3,Outlet
8,Foot Locker,1185732,2020-01-21 00:00:00,Northeast,New York,New York,Women's Street Footwear,40,950,380000,133000,0.35,Outlet
9,Foot Locker,1185732,2020-01-22 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,45,825,371250,129937.49999999999,0.35,Outlet
10,Foot Locker,1185732,2020-01-23 00:00:00,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet
11,Foot Locker,1185732,2020-01-24 00:00:00,Northeast,New York,New York,Women's Apparel,50,1000,500000,125000,0.25,Outlet
12,Foot Locker,1185732,2020-01-25 00:00:00,Northeast,New York,New York,Men's Street Footwear,50,1220,610000,305000,0.5,Outlet
13,Foot Locker,1185732,2020-01-26 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,50,925,462500,138750,0.3,Outlet
14,Foot Locker,1185732,2020-01-27 00:00:00,Northeast,New York,New York,Women's Street Footwear,40,950,380000,133000,0.35,Outlet
15,Foot Locker,1185732,2020-01-28 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,45,800,360000,125999.99999999999,0.35,Outlet
16,Foot Locker,1185732,2020-01-29 00:00:00,Northeast,New York,New York,Men's Apparel,60,850,510000,153000,0.3,Outlet
17,Foot Locker,1185732,2020-01-30 00:00:00,Northeast,New York,New York,Women's Apparel,50,950,475000,118750,0.25,Outlet
18,Foot Locker,1185732,2020-01-31 00:00:00,Northeast,New York,New York,Men's Street Footwear,50,1200,600000,300000,0.5,Outlet
19,Foot Locker,1185732,2020-02-01 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,50,900,450000,135000,0.3,Outlet
